cluster_id,sample_id,n_spots,label,label_name,plasma_mean,tregs_mean,chemo_mean,myl_sup_mean,composite_mean
13,GSM5924030_ffpe_c_2,12,0,immunogenic,1.9565864684846666,0.006490494956572855,0.3711552176411305,0.16386639042334125,0.2970677266454382
21,GSM5924030_ffpe_c_2,244,0,immunogenic,1.3289050307365065,0.08110866638602779,0.6292978836682127,0.2595394347613765,0.30210631452039555
27,GSM5924030_ffpe_c_2,18,0,immunogenic,1.5218477222654556,0.08105032733745045,0.1855489947445331,0.19510453935424088,0.24846956726545802
31,GSM5924030_ffpe_c_2,3,0,immunogenic,1.8866794649759928,-0.03293850156995985,0.24472120594898053,0.05888445240881305,0.2731852606198019
73,GSM5924030_ffpe_c_2,6,1,tolerogenic,1.942715582317776,0.10856279320187039,0.11120117724142492,0.304518903626336,0.24482512256475486
114,GSM5924030_ffpe_c_2,15,1,tolerogenic,1.677267573038737,0.01673649676640828,0.09869562907251044,0.2644174460850982,0.2586824384055735
126,GSM5924030_ffpe_c_2,3,0,immunogenic,1.8518941413031682,0.1304568107922872,0.2245393377361876,0.11078401639405323,0.3124106046507951
134,GSM5924030_ffpe_c_2,3,0,immunogenic,1.2240260314941407,0.0537766334745619,0.3832468777794629,0.18462748029818035,0.2773538123360284
148,GSM5924030_ffpe_c_2,4,-1,uncertain,1.4163775968551637,0.08292274971803028,0.08171213817114782,0.06197162577600189,0.2839686996293632
184,GSM5924030_ffpe_c_2,4,1,tolerogenic,1.0679383373260498,0.08709262286623318,0.1484652847954721,0.33668882076186357,0.22637567011787524
213,GSM5924030_ffpe_c_2,5,1,tolerogenic,1.621787218729655,-0.02223119791348775,0.1071396038989828,0.4028920373049649,0.252844768479326
219,GSM5924030_ffpe_c_2,5,-1,uncertain,1.7503818346659343,0.03960603459676106,-0.09405105980959806,0.11513284403868398,0.23745679212044793
230,GSM5924030_ffpe_c_2,5,-1,uncertain,1.738344835917155,0.01768027806282043,0.07033991693246242,0.17527728514237836,0.2692972286942873
